SAP_MAT_NUM	MAT_TYPE	INDT_SECT	DESC	BASE_UOM	MATL_GRP	DIVISION	GEN_ITEM_CAT_GRP	WGT_UOM	WGT_GRS	WGT_NET	PURCH_VAL_KEY	TRP_GRP	STO_COND
000000000010000149	FERT	M	050M-041 D.BNE WHITE 6063T6 5970	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000150	FERT	M	050M-041 DS CHAMPAGN 6063T6 5500	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000151	FERT	M	050M-041 DS CHAMPAGN 6063T6 6200	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000152	FERT	M	050M-041 DS CHAMPAGN 6063T6 6300	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000153	FERT	M	050M-042 DS A.SILVER 6063T5 5588	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000154	FERT	M	050M-042 P.ESP WHITE 6063T5 5461	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000155	FERT	M	050M-042 P.ESP WHITE 6063T5 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000156	FERT	M	050M-042 CLEAR ANOD 6063T5 5969	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000157	FERT	M	050M-042 D.BNE WHITE 6063T5 3962	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000158	FERT	M	050M-042 MILL FINISH 6063T5 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000159	FERT	M	050M-042 DS A.SILVER 6063T6 4826	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000160	FERT	M	050M-042 DS A.SILVER 6063T6 4953	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000161	FERT	M	050M-042 DS A.SILVER 6063T6 5080	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000162	FERT	M	050M-042 DS A.SILVER 6063T6 5334	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000163	FERT	M	050M-042 DS A.SILVER 6063T6 5969	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000164	FERT	M	050M-042 DS A.SILVER 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000165	FERT	M	050M-042 DS A.SILVER 6063T6 6100	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000166	FERT	M	050M-042 P.ESP WHITE 6063T6 4191	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000167	FERT	M	050M-042 P.ESP WHITE 6063T6 4724	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000168	FERT	M	050M-042 P.ESP WHITE 6063T6 5207	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000169	FERT	M	050M-042 P.ESP WHITE 6063T6 5334	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000170	FERT	M	050M-042 P.ESP WHITE 6063T6 5461	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000171	FERT	M	050M-042 P.ESP WHITE 6063T6 5537	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000172	FERT	M	050M-042 P.ESP WHITE 6063T6 5540	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000173	FERT	M	050M-042 P.ESP WHITE 6063T6 5842	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000174	FERT	M	050M-042 P.ESP WHITE 6063T6 5970	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000175	FERT	M	050M-042 P.ESP WHITE 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000176	FERT	M	050M-042 CLEAR ANOD 6063T6 5969	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000177	FERT	M	050M-042 D.BNE WHITE 6063T6 5969	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000178	FERT	M	050M-042 D.BNE WHITE 6063T6 5970	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000179	FERT	M	050M-042 DS CHAMPAGN 6063T6 5500	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000180	FERT	M	050M-042 DS CHAMPAGN 6063T6 6200	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000181	FERT	M	050M-042 DS CHAMPAGN 6063T6 6300	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000182	FERT	M	050M-043 DS A.SILVER 6063T5 5842	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000183	FERT	M	050M-043 P.ESP WHITE 6063T5 5715	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000184	FERT	M	050M-043 CLEAR ANOD 6063T5 5121	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000185	FERT	M	050M-043 CLEAR ANOD 6063T5 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000186	FERT	M	050M-043 D.BNE WHITE 6063T5 4115	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000187	FERT	M	050M-043 DS A.SILVER 6063T6 5080	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000188	FERT	M	050M-043 DS A.SILVER 6063T6 5207	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000189	FERT	M	050M-043 DS A.SILVER 6063T6 5461	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000190	FERT	M	050M-043 DS A.SILVER 6063T6 5715	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000191	FERT	M	050M-043 DS A.SILVER 6063T6 5842	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000192	FERT	M	050M-043 DS A.SILVER 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000193	FERT	M	050M-043 P.ESP WHITE 6063T6 4877	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000194	FERT	M	050M-043 P.ESP WHITE 6063T6 4953	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000195	FERT	M	050M-043 P.ESP WHITE 6063T6 5461	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000196	FERT	M	050M-043 P.ESP WHITE 6063T6 5740	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000197	FERT	M	050M-043 P.ESP WHITE 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000198	FERT	M	050M-043 P.ESP WHITE 6063T6 6100	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000199	FERT	M	050M-043 CLEAR ANOD 6063T6 4826	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000200	FERT	M	050M-043 CLEAR ANOD 6063T6 5080	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000201	FERT	M	050M-043 CLEAR ANOD 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
